Movie_name,Rating,Votes,Duration,genre
He Sees You When You're Sleeping,4.2, (153),1h 23m,horror
Campton Manor,3.4, (245),1h 23m,horror
Jurassic Triangle,2.4, (291),1h 24m,horror
The Killers,6.1, (80),1h 59m,horror
Burning Butterflies,7.9, (90),1h 43m,horror
Kifn,7.2, (725),1h 40m,horror
Shark Island,3.1, (131),1h 21m,horror
Bloody Ishq,2.9, (2.2K),2h 18m,horror
Winter Island,4.7, (185),1h 42m,horror
Spring Garden,4.4, (211),1h 30m,horror
I'll Play Mother,5.2, (97),1h 48m,horror
Haze,6.4, (53),1h 16m,horror
Rita,5.7, (298),1h 47m,horror
Kromoleo,3.9, (270),1h 20m,horror
Ba,7.6, (63),1h 19m,horror
No Voltees,5.5, (226),1h 34m,horror
Our Happy Place,9.3, (32),1h 30m,horror
In Our Blood,6.9, (52),1h 29m,horror
The Redemption of Sin,5.7, (235),1h 56m,horror
The Blackwell Ghost 8,6.1, (415),1h 9m,horror
The Windigo,4.6, (724),1h 25m,horror
Father's Haunted House,5.9, (357),1h 33m,horror
A Mother's Embrace,5.8, (633),1h 30m,horror
Monster on a Plane,4.7, (2.3K),1h 28m,horror
Mandira,6.1, (1K),2h 1m,horror
Manipula,8.4, (32),1h 34m,horror
Family,6.8, (33),1h 35m,horror
Crust,6.0, (247),1h 42m,horror
There's a Zombie Outside,5.7, (65),1h 15m,horror
Trinil,4.5, (376),1h 45m,horror
A Halloween Feast,4.7, (809),1h 43m,horror
They Turned Us Into Killers,2.7, (264),1h 26m,horror
Spithood,5.4, (1.1K),58m,horror
Marni: The Story of Wewe Gombel,5.8, (232),1h 59m,horror
Dead Whisper,3.8, (566),1h 28m,horror
Ma Da: The Drowning Spirit,4.4, (210),1h 30m,horror
The Shadow,6.4, (280),1h 30m,horror
Jurnal Risa by Risa Saraswati,4.4, (314),1h 32m,horror
Naalkane Aayama,6.9, (2K),1h 48m,horror
Bull Shark 3,3.5, (94),1h 16m,horror
Hide and Seek,5.4, (5),1h 38m,horror
The Cursed Land,5.5, (307),2h 8m,horror
Quadrant,4.3, (150),1h 13m,horror
Skeletons in the Closet,3.0, (579),1h 32m,horror
All That Remains,6.3, (24),1h 10m,horror
Remnant,2.6, (332),1h 52m,horror
Ship of the Damned,2.8, (311),1h 28m,horror
The Backrooms,8.2, (16),1h 3m,horror
Shaman,5.2, (65),1h 40m,horror
Mummy Shark,2.0, (196),1h 6m,horror
The Seductress from Hell,6.4, (21),1h 42m,horror
Slashercise,5.4, (14),58m,horror
Mother Goose's ScaryTales,6.1, (15),54m,horror
Daft State,6.3, (51),18+,horror
The Boys,4.7, (143),2h 11m,horror
"Nanay, tatay",7.0, (70),2h,horror
Janji Darah,4.4, (169),1h 44m,horror
Killer Influence,2.6, (330),1h 24m,horror
You Shouldn't Have Let Me In,4.1, (184),1h 24m,horror
Cadet,7.0, (54),2h 6m,horror
Cocaine Werewolf,2.4, (308),1h 20m,horror
For Sale,4.9, (682),1h 55m,horror
(Pri)sons,5.0, (296),1h 40m,horror
Guess Who,4.8, (376),1h 33m,horror
The Deadly Swarm,2.5, (200),1h 21m,horror
Snakeeater,5.3, (279),1h 20m,horror
The House on Laura Anne Dr.,4.4, (664),1h 15m,horror
Séance,7.9, (25),1h 25m,horror
Z-Mom,4.9, (47),1h 30m,horror
Üç Harfliler: Nazar,4.8, (182),1h 34m,horror
Oculus,6.0, (15),1h 53m,horror
Cara,6.4, (57),1h 36m,horror
The Captives,3.4, (69),1h 13m,horror
A Stranger in the Woods,4.8, (708),1h 23m,horror
Salve Maria,6.4, (520),1h 51m,horror
The Hostage,5.0, (14),1h 27m,horror
Malice,2.7, (43),1h 34m,horror
Pinnil Oral,7.4, (419),2h 7m,horror
Clownface 3,9.5, (41),1h 44m,horror
Touched by Eternity,5.3, (99),1h 35m,horror
Biaz: Kara Iyenin Laneti,5.1, (403),1h 29m,horror
The Epidemic,5.9, (71),1h 35m,horror
Unnatural,3.7, (145),1h 43m,horror
My Redneck Neighbor: Chapter 2 - Let the Games Begin,5.7, (11),55m,horror
Dosen Ghaib: It's Nighttime or You Already Know,4.1, (318),1h 34m,horror
Pigman,3.2, (110),1h 38m,horror
Mystic Singer,4.9, (251),1h 36m,horror
Space Sharks,1.5, (330),1h 10m,horror
The Cellar,5.8, (171),1h 25m,horror
OMG: O Manchi Ghost,5.1, (593),2h 5m,horror
Dead Teenagers,3.2, (148),1h 20m,horror
"Hemet, or the Landlady Don't Drink Tea",4.3, (96),1h 29m,horror
True Fear,4.5, (315),1h 32m,horror
Blood Mountain Massacre,5.0, (44),1h 29m,horror
Kutukan Calon Arang,5.3, (17),1h 41m,horror
The Buildout,4.1, (100),1h 10m,horror
Bhavanam: The Haunted House,6.9, (18),2h 19m,horror
The Girl Who Wore Yellow Lace,4.9, (30),1h 22m,horror
Wild Animal,8.4, (14),19m,horror
Name the Demon,3.5, (177),1h 17m,horror
Crispy,3.4, (95),1h 16m,horror
The Last Podcast,7.8, (6),1h 38m,horror
Director's Cut,7.5, (100),1h 30m,horror
Whisper of the Witch,3.9, (343),1h 35m,horror
Solitude,6.2, (46),1h 37m,horror
Mona: Jinn-2,4.1, (127),2h 4m,horror
Xoftex,5.9, (61),1h 39m,horror
Run!,3.5, (103),1h 26m,horror
The Woods Are Real,2.4, (472),1h 20m,horror
Deadly Culture: Final Mutation,2.8, (56),1h 9m,horror
The Prodigy,4.6, (38),1h 23m,horror
Cursed,4.2, (143),1h 21m,horror
Spirit Riser,6.6, (39),1h 38m,horror
THEDÆMON,6.9, (44),1h 27m,horror
Hellhounds,3.4, (182),1h 21m,horror
Effigy,2.8, (265),1h 18m,horror
What Happened to Suzy,6.4, (87),1h 34m,horror
Clown II,7.5, (13),2h 21m,horror
The Last Chainsaw Massacre,3.7, (43),1h 15m,horror
Nyctophobia,2.6, (170),1h 17m,horror
Jugaremos en el bosque,4.9, (101),1h 30m,horror
Valari,7.9, (2.6K),2h 15m,horror
Missing Child Videotape,6.5, (79),1h 44m,horror
Book of the Dead,5.4, (78),1h 30m,horror
Bury Your Dead,5.4, (82),2h 8m,horror
Padikkadha Pakkangal,4.6, (167),1h 46m,horror
Vampire Zombies... From Space!,6.8, (112),1h 38m,horror
A Savior Red,5.1, (270),1h 27m,horror
Cold Blows the Wind,5.6, (804),1h 25m,horror
Betting with Ghost,6.5, (94),1h 52m,horror
Don't Make a Sound,3.7, (42),1h 20m,horror
The Carters,5.2, (28),1h 15m,horror
Silence of the Prey,3.8, (301),1h 37m,horror
Salsa,5.7, (286),1h 40m,horror
Compression,8.0, (15),2h 4m,horror
Ice Nine Kills Presents: Welcome to Horrorwood,8.5, (31),1h 16m,horror
Lopaliki Ra Chepta,8.4, (1.5K),1h 52m,horror
Ladybug,5.5, (34),1h 47m,horror
